id;visitor_type;mobile;vehicle_number;address;in_time;out_time
1;DELIVERY;PCI Granite next-generation;Ports Hat Maryland;Secured digital;2022-11-25T04:55:42;2022-11-25T06:24:55
2;OTHER;Granite facilitate;methodology Practical;Buckinghamshire networks Tennessee;2022-11-25T08:09:53;2022-11-25T10:17:22
3;OTHER;Directives empower olive;Research green Alaska;Clothing action-items;2022-11-25T06:02:01;2022-11-25T00:54:49
4;OTHER;Greenland logistical;copy;Account Colorado Concrete;2022-11-25T05:13:23;2022-11-24T21:35:50
5;DELIVERY;Business-focused white Nakfa;primary;program transmit Seychelles;2022-11-25T01:31:29;2022-11-24T22:51:47
6;OTHER;holistic;viral;Car paradigms;2022-11-24T22:28:47;2022-11-25T04:13:08
7;OTHER;frictionless Books Mouse;Afghani;Hat Industrial;2022-11-25T18:52:37;2022-11-24T21:41:47
8;GUEST;technologies invoice Guilder;EXE;systems benchmark;2022-11-24T20:57:43;2022-11-24T21:43:09
9;DELIVERY;card;generate International Texas;Gloves Idaho;2022-11-25T00:18:55;2022-11-25T01:47:22
10;STAFF;Adaptive infomediaries database;Berkshire;Hat;2022-11-25T02:39:56;2022-11-25T03:14:13
